sample_name	provided_species	filenames
SRR2094561	Salmonella enterica	SRR2094561_1.fastq.gz/SRR2094561_2.fastq.gz
S1	Staphylococcus aureus	S1_R1.fastq.gz/S1_R2.fastq.gz
S10	Staphylococcus aureus	S10_R1.fastq.gz/S10_R2.fastq.gz
S100	Staphylococcus aureus	S100_R1.fastq.gz/S100_R2.fastq.gz
S101	Staphylococcus aureus	S101_R1.fastq.gz/S101_R2.fastq.gz
S102	Staphylococcus aureus	S102_R1.fastq.gz/S102_R2.fastq.gz
S103	Escherichia coli	S103_R1.fastq.gz/S103_R2.fastq.gz
S104	Escherichia coli	S104_R1.fastq.gz/S104_R2.fastq.gz
S105	Escherichia coli	S105_R1.fastq.gz/S105_R2.fastq.gz
S106	Escherichia coli	S106_R1.fastq.gz/S106_R2.fastq.gz
S107	Escherichia coli	S107_R1.fastq.gz/S107_R2.fastq.gz
S108	Staphylococcus aureus	S108_R1.fastq.gz/S108_R2.fastq.gz
S109	Staphylococcus aureus	S109_R1.fastq.gz/S109_R2.fastq.gz
S11	Staphylococcus aureus	S11_R1.fastq.gz/S11_R2.fastq.gz
S110	Staphylococcus aureus	S110_R1.fastq.gz/S110_R2.fastq.gz
S111	Escherichia coli	S111_R1.fastq.gz/S111_R2.fastq.gz
S112	Escherichia coli	S112_R1.fastq.gz/S112_R2.fastq.gz
S113	Escherichia coli	S113_R1.fastq.gz/S113_R2.fastq.gz
S114	Escherichia coli	S114_R1.fastq.gz/S114_R2.fastq.gz
S115	Escherichia coli	S115_R1.fastq.gz/S115_R2.fastq.gz
S116	Staphylococcus aureus	S116_R1.fastq.gz/S116_R2.fastq.gz
S117	Staphylococcus aureus	S117_R1.fastq.gz/S117_R2.fastq.gz
S118	Escherichia coli	S118_R1.fastq.gz/S118_R2.fastq.gz
S119	Escherichia coli	S119_R1.fastq.gz/S119_R2.fastq.gz
S12	Staphylococcus aureus	S12_R1.fastq.gz/S12_R2.fastq.gz
S120	Escherichia coli	S120_R1.fastq.gz/S120_R2.fastq.gz
S121	Escherichia coli	S121_R1.fastq.gz/S121_R2.fastq.gz
S122	Escherichia coli	S122_R1.fastq.gz/S122_R2.fastq.gz
S13	Staphylococcus aureus	S13_R1.fastq.gz/S13_R2.fastq.gz
S14	Staphylococcus aureus	S14_R1.fastq.gz/S14_R2.fastq.gz
S15	Staphylococcus aureus	S15_R1.fastq.gz/S15_R2.fastq.gz
S16	Staphylococcus aureus	S16_R1.fastq.gz/S16_R2.fastq.gz
S17	Staphylococcus aureus	S17_R1.fastq.gz/S17_R2.fastq.gz
S18	Staphylococcus aureus	S18_R1.fastq.gz/S18_R2.fastq.gz
S19	Staphylococcus aureus	S19_R1.fastq.gz/S19_R2.fastq.gz
S2	Staphylococcus aureus	S2_R1.fastq.gz/S2_R2.fastq.gz
S20	Staphylococcus aureus	S20_R1.fastq.gz/S20_R2.fastq.gz
S21	Staphylococcus aureus	S21_R1.fastq.gz/S21_R2.fastq.gz
S22	Staphylococcus aureus	S22_R1.fastq.gz/S22_R2.fastq.gz
S23	Staphylococcus aureus	S23_R1.fastq.gz/S23_R2.fastq.gz
S24	Staphylococcus aureus	S24_R1.fastq.gz/S24_R2.fastq.gz
S25	Staphylococcus aureus	S25_R1.fastq.gz/S25_R2.fastq.gz
S26	Staphylococcus aureus	S26_R1.fastq.gz/S26_R2.fastq.gz
S27	Staphylococcus aureus	S27_R1.fastq.gz/S27_R2.fastq.gz
S28	Staphylococcus aureus	S28_R1.fastq.gz/S28_R2.fastq.gz
S29	Staphylococcus aureus	S29_R1.fastq.gz/S29_R2.fastq.gz
S3	Staphylococcus aureus	S3_R1.fastq.gz/S3_R2.fastq.gz
S30	Staphylococcus aureus	S30_R1.fastq.gz/S30_R2.fastq.gz
S31	Staphylococcus aureus	S31_R1.fastq.gz/S31_R2.fastq.gz
S32	Staphylococcus aureus	S32_R1.fastq.gz/S32_R2.fastq.gz
S33	Staphylococcus aureus	S33_R1.fastq.gz/S33_R2.fastq.gz
S34	Escherichia coli	S34_R1.fastq.gz/S34_R2.fastq.gz
S35	Escherichia coli	S35_R1.fastq.gz/S35_R2.fastq.gz
S36	Escherichia coli	S36_R1.fastq.gz/S36_R2.fastq.gz
S37	Escherichia coli	S37_R1.fastq.gz/S37_R2.fastq.gz
S38	Escherichia coli	S38_R1.fastq.gz/S38_R2.fastq.gz
S39	Escherichia coli	S39_R1.fastq.gz/S39_R2.fastq.gz
S4	Staphylococcus aureus	S4_R1.fastq.gz/S4_R2.fastq.gz
S40	Escherichia coli	S40_R1.fastq.gz/S40_R2.fastq.gz
S41	Escherichia coli	S41_R1.fastq.gz/S41_R2.fastq.gz
S42	Escherichia coli	S42_R1.fastq.gz/S42_R2.fastq.gz
S43	Escherichia coli	S43_R1.fastq.gz/S43_R2.fastq.gz
S44	Escherichia coli	S44_R1.fastq.gz/S44_R2.fastq.gz
S45	Escherichia coli	S45_R1.fastq.gz/S45_R2.fastq.gz
S46	Escherichia coli	S46_R1.fastq.gz/S46_R2.fastq.gz
S47	Escherichia coli	S47_R1.fastq.gz/S47_R2.fastq.gz
S48	Escherichia coli	S48_R1.fastq.gz/S48_R2.fastq.gz
S49	Escherichia coli	S49_R1.fastq.gz/S49_R2.fastq.gz
S5	Staphylococcus aureus	S5_R1.fastq.gz/S5_R2.fastq.gz
S50	Escherichia coli	S50_R1.fastq.gz/S50_R2.fastq.gz
S51	Escherichia coli	S51_R1.fastq.gz/S51_R2.fastq.gz
S52	Escherichia coli	S52_R1.fastq.gz/S52_R2.fastq.gz
S53	Escherichia coli	S53_R1.fastq.gz/S53_R2.fastq.gz
S54	Escherichia coli	S54_R1.fastq.gz/S54_R2.fastq.gz
S55	Escherichia coli	S55_R1.fastq.gz/S55_R2.fastq.gz
S56	Escherichia coli	S56_R1.fastq.gz/S56_R2.fastq.gz
S57	Escherichia coli	S57_R1.fastq.gz/S57_R2.fastq.gz
S58	Escherichia coli	S58_R1.fastq.gz/S58_R2.fastq.gz
S59	Escherichia coli	S59_R1.fastq.gz/S59_R2.fastq.gz
S6	Staphylococcus aureus	S6_R1.fastq.gz/S6_R2.fastq.gz
S60	Escherichia coli	S60_R1.fastq.gz/S60_R2.fastq.gz
S61	Escherichia coli	S61_R1.fastq.gz/S61_R2.fastq.gz
S62	Escherichia coli	S62_R1.fastq.gz/S62_R2.fastq.gz
S63	Escherichia coli	S63_R1.fastq.gz/S63_R2.fastq.gz
S64	Escherichia coli	S64_R1.fastq.gz/S64_R2.fastq.gz
S65	Escherichia coli	S65_R1.fastq.gz/S65_R2.fastq.gz
